Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Treadmill Running,2019-12-21 14:52:08,false,"Treadmill Running","9.10","612","01:01:18","--","--","--","184","203","6:44","3:04","--","--","0.80","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:49.20","10","0.0"
Treadmill Running,2019-12-20 13:03:57,false,"Treadmill Running","7.74","531","00:39:27","--","--","--","186","195","5:06","4:22","--","--","1.05","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Other,2019-12-18 09:07:10,false,"Other","0.00","--","01:00:02","--","--","--","117","159","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Treadmill Running,2019-12-17 15:17:19,false,"Treadmill Running","8.80","594","00:49:02","--","--","--","190","208","5:34","3:02","--","--","0.94","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:08.94","15","0.0"
Treadmill Running,2019-12-16 11:16:33,false,"Treadmill Running","7.71","527","00:39:37","--","--","--","187","235","5:08","3:50","--","--","1.04","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","05:14.61","2","0.0"
Running,2019-12-14 09:15:46,false,"Saanich Running","13.17","777","01:13:55","143","178","3.1","174","256","5:37","2:12","95","95","1.05","7.8","8.2","236","49.4% L / 50.6% R","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.60","21","0.0"
Running,2019-12-12 16:05:07,false,"Saanich Running","2.36","163","00:11:48","--","--","--","181","188","5:00","4:40","--","--","1.11","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-12-12 14:50:06,false,"Saanich Running","13.12","885","01:00:28","--","--","--","183","197","4:36","3:17","5","6","1.18","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","02:00.96","8","0.0"
Running,2019-12-10 15:36:37,false,"Saanich Running","16.72","1,080","01:32:29","--","--","--","181","211","5:32","2:44","67","67","0.99","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:29.64","36","0.0"
Running,2019-12-08 09:07:52,false,"Saanich Running","15.99","1,074","01:20:01","--","--","--","182","244","5:00","4:14","27","27","1.10","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
